Language,Script,Words Analyzed,Initial Gini,Final Gini,Delta Gini,Initial Entropy,Final Entropy,Delta Entropy,JSD,Score,Predicted,Actual,Correct
Danish,Latin,474182,0.5705,0.7733,-0.3018,4.1877,3.4120,0.2041,0.3169,0.2530,LTR,LTR,Y
Dutch,Latin,519733,0.5669,0.7815,-0.3183,4.1468,3.1693,0.2672,0.3876,0.2928,LTR,LTR,Y
English,Latin,481162,0.5913,0.7213,-0.1981,4.0327,3.5652,0.1231,0.2954,0.1606,LTR,LTR,Y
Finnish,Latin,366636,0.6047,0.8489,-0.3360,3.9188,2.5967,0.4058,0.5287,0.3709,LTR,LTR,Y
French,Latin,531679,0.6449,0.8358,-0.2579,4.0681,2.9855,0.3070,0.3620,0.2824,LTR,LTR,Y
German,Latin,485235,0.5471,0.7634,-0.3302,4.1571,3.3419,0.2174,0.3516,0.2738,LTR,LTR,Y
Greek,Greek,517467,0.7812,0.8427,-0.0758,4.0664,3.5236,0.1430,0.5568,0.1094,LTR,LTR,Y
Italian,Latin,477227,0.5835,0.8443,-0.3654,3.9674,2.8038,0.3437,0.4682,0.3545,LTR,LTR,Y
Portuguese,Latin,472804,0.6658,0.8495,-0.2424,4.0286,2.8370,0.3471,0.4122,0.2947,LTR,LTR,Y
Spanish,Latin,523254,0.6297,0.8119,-0.2527,3.9763,2.9819,0.2858,0.3584,0.2693,LTR,LTR,Y
Swedish,Latin,464811,0.5027,0.7285,-0.3668,4.2899,3.5631,0.1851,0.2694,0.2760,LTR,LTR,Y
Arabic,Arabic,1313,0.5869,0.6170,-0.0501,4.0842,3.7865,0.0756,0.3515,0.0629,LTR,RTL,N
Farsi,Arabic,1667,0.6767,0.5830,0.1487,3.7951,4.1556,-0.0907,0.2576,-0.1197,RTL,RTL,Y
Urdu,Arabic,2170,0.7182,0.6413,0.1132,3.8818,4.1760,-0.0730,0.4012,-0.0931,RTL,RTL,Y
Punjabi (Shah.),Arabic,2261,0.7116,0.6118,0.1509,3.7543,4.2611,-0.1264,0.4197,-0.1387,RTL,RTL,Y
Saraiki,Arabic,2105,0.7028,0.5919,0.1713,3.8637,4.4092,-0.1319,0.4332,-0.1516,RTL,RTL,Y
Uyghur,Arabic,1492,0.5336,0.6296,-0.1649,3.7469,3.6718,0.0202,0.6203,0.0926,LTR,RTL,N
Malay (Jawi),Arabic,1564,0.5995,0.6011,-0.0028,3.4738,3.6330,-0.0448,0.4252,-0.0210,RTL,RTL,Y
Hebrew,Hebrew,1263,0.5722,0.5156,0.1040,3.7145,3.8164,-0.0271,0.3579,-0.0656,RTL,RTL,Y
Yiddish,Hebrew,1686,0.6135,0.5329,0.1406,3.4179,3.7084,-0.0815,0.6308,-0.1111,RTL,RTL,Y
